0,1,2,3,4,5,6,7,8,9,10
canned beer,sliced cheese,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pet care,mustard,,,,,,,,,
citrus fruit,berries,,,,,,,,,
artif. sweetener,bottled water,butter milk,butter,soda,,,,,,
other vegetables,yogurt,,,,,,,,,
ham,domestic eggs,,,,,,,,,
chocolate,whipped/sour cream,brown bread,,,,,,,,
tropical fruit,butter,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
soda,red/blush wine,,,,,,,,,
bottled beer,dog food,,,,,,,,,
waffles,beverages,waffles,curd,,,,,,,
whole milk,soda,hygiene articles,canned beer,,,,,,,
sparkling wine,whole milk,dessert,salt,,,,,,,
butter,whole milk,,,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
ham,curd,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
beef,pip fruit,,,,,,,,,
mustard,sugar,baking powder,,,,,,,,
frankfurter,dishes,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
oil,male cosmetics,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
bottled beer,whole milk,citrus fruit,other vegetables,soft cheese,,,,,,
pork,other vegetables,,,,,,,,,
frozen fish,mustard,,,,,,,,,
pork,soda,,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
rolls/buns,frozen vegetables,hamburger meat,pork,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pastry,bottled beer,,,,,,,,,
white wine,cream cheese ,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
pip fruit,waffles,cat food,,,,,,,,
meat,domestic eggs,,,,,,,,,
bottled water,whole milk,rolls/buns,,,,,,,,
ham,whole milk,candy,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
white wine,bottled water,,,,,,,,,
pastry,shopping bags,,,,,,,,,
long life bakery product,citrus fruit,rolls/buns,,,,,,,,
pastry,pip fruit,,,,,,,,,
citrus fruit,chicken,,,,,,,,,
rolls/buns,butter,,,,,,,,,
flour,UHT-milk,,,,,,,,,
bottled water,soda,nut snack,,,,,,,,
chicken,sugar,domestic eggs,,,,,,,,
canned beer,yogurt,bottled water,,,,,,,,
beef,yogurt,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
candy,roll products ,frozen vegetables,,,,,,,,
pip fruit,other vegetables,cling film/bags,,,,,,,,
pip fruit,beverages,zwieback,,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
yogurt,rolls/buns,fruit/vegetable juice,spices,canned fish,,,,,,
coffee,berries,,,,,,,,,
other vegetables,chicken,,,,,,,,,
curd,whole milk,,,,,,,,,
rolls/buns,rum,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
whole milk,onions,cream cheese ,,,,,,,,
soda,semi-finished bread,,,,,,,,,
soda,bottled water,butter,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
whole milk,berries,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
canned beer,napkins,rolls/buns,,,,,,,,
pastry,waffles,other vegetables,whole milk,dental care,house keeping products,frozen vegetables,,,,
tropical fruit,pip fruit,herbs,yogurt,bottled water,sweet spreads,,,,,
frankfurter,canned beer,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
other vegetables,domestic eggs,napkins,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
brown bread,chocolate,,,,,,,,,
whole milk,candles,yogurt,,,,,,,,
whole milk,canned beer,,,,,,,,,
meat,other vegetables,chewing gum,,,,,,,,
whole milk,coffee,,,,,,,,,
candy,newspapers,female sanitary products,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
newspapers,sliced cheese,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
citrus fruit,jam,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
hamburger meat,curd,,,,,,,,,
whole milk,brown bread,,,,,,,,,
dog food,processed cheese,,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
finished products,other vegetables,,,,,,,,,
whole milk,candy,,,,,,,,,
sausage,detergent,,,,,,,,,
pip fruit,beverages,margarine,soda,,,,,,,
whole milk,pastry,,,,,,,,,
soap,rum,,,,,,,,,
specialty bar,waffles,,,,,,,,,
bottled water,curd,yogurt,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
whole milk,long life bakery product,margarine,,,,,,,,
butter,yogurt,,,,,,,,,
ham,yogurt,,,,,,,,,
bottled water,berries,,,,,,,,,
chicken,pastry,,,,,,,,,
frankfurter,berries,,,,,,,,,
shopping bags,misc. beverages,,,,,,,,,
oil,canned fish,,,,,,,,,
soda,misc. beverages,,,,,,,,,
house keeping products,butter milk,,,,,,,,,
sausage,sausage,chicken,chewing gum,newspapers,bottled water,pastry,yogurt,,,
canned beer,detergent,root vegetables,root vegetables,butter milk,,,,,,
other vegetables,frozen dessert,chewing gum,,,,,,,,
pot plants,frozen dessert,,,,,,,,,
soda,onions,,,,,,,,,
grapes,chewing gum,curd cheese,,,,,,,,
whole milk,napkins,artif. sweetener,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
organic sausage,herbs,,,,,,,,,
sausage,newspapers,,,,,,,,,
beef,brown bread,,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
frankfurter,dishes,hygiene articles,,,,,,,,
condensed milk,whole milk,,,,,,,,,
sausage,pot plants,,,,,,,,,
beef,dessert,,,,,,,,,
pastry,margarine,pastry,pastry,,,,,,,
dishes,bottled water,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
bottled water,berries,oil,,,,,,,,
whole milk,yogurt,,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
citrus fruit,hamburger meat,,,,,,,,,
soda,beverages,fruit/vegetable juice,,,,,,,,
onions,specialty chocolate,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
grapes,detergent,,,,,,,,,
coffee,fruit/vegetable juice,,,,,,,,,
shopping bags,frozen vegetables,,,,,,,,,
bottled beer,fruit/vegetable juice,whole milk,bottled beer,,,,,,,
meat spreads,mayonnaise,,,,,,,,,
whole milk,cat food,long life bakery product,,,,,,,,
bottled water,other vegetables,light bulbs,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
specialty bar,semi-finished bread,,,,,,,,,
pork,sweet spreads,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
rolls/buns,make up remover,,,,,,,,,
bottled water,frozen dessert,root vegetables,,,,,,,,
whole milk,white bread,,,,,,,,,
citrus fruit,dog food,rolls/buns,soda,whole milk,fruit/vegetable juice,whipped/sour cream,yogurt,,,
shopping bags,sparkling wine,,,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
sausage,specialty chocolate,,,,,,,,,
shopping bags,detergent,,,,,,,,,
pip fruit,canned beer,pork,white bread,,,,,,,
berries,tropical fruit,rolls/buns,pastry,rolls/buns,whole milk,frozen vegetables,,,,
other vegetables,white bread,,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,baking powder,,,,,,,,,
meat,meat,whole milk,cling film/bags,,,,,,,
pastry,bottled beer,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
yogurt,pasta,,,,,,,,,
root vegetables,whole milk,newspapers,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
beef,whole milk,,,,,,,,,
waffles,sugar,,,,,,,,,
sausage,whole milk,,,,,,,,,
chicken,other vegetables,pastry,onions,,,,,,,
ham,white bread,,,,,,,,,
sausage,other vegetables,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
jam,margarine,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
sausage,tropical fruit,rolls/buns,,,,,,,,
beef,butter milk,,,,,,,,,
frankfurter,pork,,,,,,,,,
soda,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
dishes,dessert,,,,,,,,,
curd,brown bread,,,,,,,,,
yogurt,margarine,,,,,,,,,
frankfurter,whole milk,canned fish,yogurt,,,,,,,
yogurt,whole milk,,,,,,,,,
soda,soda,,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
beef,condensed milk,specialty chocolate,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
chicken,margarine,,,,,,,,,
bottled beer,tropical fruit,bottled water,,,,,,,,
sausage,whole milk,bottled water,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
frozen vegetables,domestic eggs,,,,,,,,,
house keeping products,cat food,,,,,,,,,
whipped/sour cream,salad dressing,,,,,,,,,
citrus fruit,pastry,newspapers,chewing gum,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
chicken,soda,,,,,,,,,
berries,white bread,,,,,,,,,
zwieback,bottled water,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
sugar,bottled water,,,,,,,,,
tropical fruit,candy,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
cream cheese ,root vegetables,soda,,,,,,,,
oil,pickled vegetables,,,,,,,,,
coffee,kitchen towels,,,,,,,,,
soda,pastry,,,,,,,,,
photo/film,root vegetables,,,,,,,,,
beverages,soda,,,,,,,,,
coffee,citrus fruit,other vegetables,fruit/vegetable juice,,,,,,,
pip fruit,brown bread,,,,,,,,,
curd,frozen vegetables,,,,,,,,,
citrus fruit,beef,whipped/sour cream,other vegetables,,,,,,,
pork,whole milk,,,,,,,,,
bottled water,chocolate,,,,,,,,,
canned beer,ham,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
ham,pork,soda,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
frankfurter,ice cream,specialty cheese,coffee,,,,,,,
frankfurter,waffles,,,,,,,,,
soda,soda,oil,,,,,,,,
pork,napkins,,,,,,,,,
curd,cereals,,,,,,,,,
frankfurter,baking powder,shopping bags,,,,,,,,
oil,soda,,,,,,,,,
chicken,whisky,,,,,,,,,
canned fish,coffee,,,,,,,,,
finished products,other vegetables,,,,,,,,,
fruit/vegetable juice,packaged fruit/vegetables,,,,,,,,,
canned beer,beef,,,,,,,,,
tropical fruit,soda,margarine,napkins,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
meat,liquor,,,,,,,,,
bottled water,baking powder,UHT-milk,,,,,,,,
pet care,brown bread,,,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
soda,margarine,,,,,,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
pip fruit,root vegetables,,,,,,,,,
beef,yogurt,,,,,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
canned beer,newspapers,,,,,,,,,
brown bread,skin care,whipped/sour cream,,,,,,,,
beef,turkey,grapes,shopping bags,sliced cheese,bottled water,,,,,
tropical fruit,mustard,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
soda,brown bread,,,,,,,,,
roll products ,specialty chocolate,,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
ice cream,specialty chocolate,,,,,,,,,
frankfurter,butter,mustard,,,,,,,,
beef,curd,,,,,,,,,
bottled water,seasonal products,,,,,,,,,
onions,other vegetables,,,,,,,,,
bottled water,brown bread,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
root vegetables,coffee,domestic eggs,soda,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
salty snack,yogurt,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
white wine,cat food,,,,,,,,,
root vegetables,curd,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
whole milk,shopping bags,specialty bar,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
grapes,yogurt,condensed milk,,,,,,,,
canned beer,sugar,,,,,,,,,
soda,pork,curd,Instant food products,,,,,,,
citrus fruit,canned beer,waffles,chocolate,dish cleaner,,,,,,
bottled water,dessert,,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,bottled water,dessert,,,,,,,,
pip fruit,waffles,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
rolls/buns,other vegetables,soda,chocolate,,,,,,,
curd,brown bread,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
hygiene articles,brown bread,,,,,,,,,
hamburger meat,salty snack,,,,,,,,,
grapes,meat spreads,domestic eggs,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
beef,citrus fruit,pastry,,,,,,,,
vinegar,newspapers,brown bread,,,,,,,,
frankfurter,specialty bar,,,,,,,,,
whole milk,bottled beer,UHT-milk,beef,pip fruit,yogurt,salty snack,,,,
rolls/buns,canned fish,chocolate,,,,,,,,
dog food,canned beer,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
curd,yogurt,,,,,,,,,
semi-finished bread,pip fruit,,,,,,,,,
meat,ice cream,cleaner,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
root vegetables,hard cheese,margarine,yogurt,,,,,,,
coffee,other vegetables,candy,whole milk,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
other vegetables,white bread,,,,,,,,,
fruit/vegetable juice,yogurt,pastry,,,,,,,,
beef,yogurt,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
bottled beer,chocolate,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,frozen meals,rolls/buns,canned beer,white bread,,,,,,
soft cheese,flower (seeds),,,,,,,,,
finished products,whole milk,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
soda,pastry,,,,,,,,,
yogurt,chicken,soda,,,,,,,,
sugar,whole milk,,,,,,,,,
root vegetables,coffee,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
meat,newspapers,cleaner,,,,,,,,
oil,brown bread,bottled beer,,,,,,,,
sausage,sausage,dog food,yogurt,hygiene articles,chocolate,,,,,
hamburger meat,condensed milk,,,,,,,,,
roll products ,sausage,prosecco,chocolate,,,,,,,
soda,cream cheese ,,,,,,,,,
yogurt,candy,canned beer,chocolate,,,,,,,
whole milk,soda,,,,,,,,,
tropical fruit,soda,,,,,,,,,
shopping bags,dessert,processed cheese,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
citrus fruit,Instant food products,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
specialty chocolate,tropical fruit,,,,,,,,,
condensed milk,shopping bags,,,,,,,,,
white wine,tropical fruit,,,,,,,,,
pastry,root vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
margarine,soda,UHT-milk,,,,,,,,
rolls/buns,berries,meat spreads,,,,,,,,
long life bakery product,ketchup,,,,,,,,,
soda,butter milk,citrus fruit,other vegetables,,,,,,,
bottled water,cream cheese ,,,,,,,,,
hamburger meat,soft cheese,pickled vegetables,,,,,,,,
hamburger meat,margarine,,,,,,,,,
other vegetables,oil,,,,,,,,,
sausage,pastry,ice cream,,,,,,,,
other vegetables,coffee,,,,,,,,,
yogurt,onions,,,,,,,,,
curd,spices,frozen fish,,,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
frankfurter,bottled water,,,,,,,,,
citrus fruit,flour,,,,,,,,,
meat,sliced cheese,,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
sausage,pork,butter,whole milk,fruit/vegetable juice,,,,,,
sauces,yogurt,,,,,,,,,
dog food,sausage,dessert,shopping bags,,,,,,,
liquor (appetizer),coffee,bottled beer,,,,,,,,
pip fruit,candles,,,,,,,,,
soda,curd,,,,,,,,,
cream cheese ,whole milk,brown bread,whole milk,,,,,,,
tropical fruit,organic products,,,,,,,,,
frankfurter,chocolate,pip fruit,margarine,butter,napkins,,,,,
chicken,other vegetables,frozen meals,,,,,,,,
tropical fruit,other vegetables,butter,rolls/buns,coffee,pastry,,,,,
pork,whole milk,,,,,,,,,
soda,seasonal products,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
chocolate,tropical fruit,,,,,,,,,
sugar,shopping bags,,,,,,,,,
pip fruit,coffee,,,,,,,,,
frankfurter,sausage,,,,,,,,,
chicken,berries,whipped/sour cream,,,,,,,,
mustard,curd cheese,,,,,,,,,
ham,brown bread,,,,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
sausage,red/blush wine,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
whole milk,napkins,,,,,,,,,
onions,domestic eggs,shopping bags,,,,,,,,
tropical fruit,beef,curd,rolls/buns,whipped/sour cream,whole milk,candles,cake bar,flour,,
frankfurter,oil,soda,,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
bottled beer,bottled beer,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
whole milk,shopping bags,curd,,,,,,,,
butter,shopping bags,newspapers,,,,,,,,
butter,whole milk,,,,,,,,,
misc. beverages,whipped/sour cream,pastry,,,,,,,,
rolls/buns,nuts/prunes,pastry,fruit/vegetable juice,,,,,,,
sausage,other vegetables,,,,,,,,,
chicken,soups,bottled water,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
soft cheese,other vegetables,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
liquor,specialty chocolate,,,,,,,,,
whipped/sour cream,brown bread,sparkling wine,,,,,,,,
pork,processed cheese,,,,,,,,,
fruit/vegetable juice,sausage,whole milk,pip fruit,,,,,,,
pasta,rolls/buns,margarine,canned fish,yogurt,,,,,,
curd,whole milk,bottled water,,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
frankfurter,sausage,,,,,,,,,
misc. beverages,salty snack,,,,,,,,,
newspapers,yogurt,napkins,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
bathroom cleaner,other vegetables,,,,,,,,,
dessert,berries,mayonnaise,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
sauces,rolls/buns,,,,,,,,,
pastry,domestic eggs,dish cleaner,,,,,,,,
whole milk,whole milk,,,,,,,,,
coffee,cling film/bags,,,,,,,,,
whole milk,coffee,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
other vegetables,oil,,,,,,,,,
napkins,mayonnaise,,,,,,,,,
salty snack,pickled vegetables,,,,,,,,,
other vegetables,sausage,rolls/buns,domestic eggs,waffles,whole milk,,,,,
yogurt,waffles,,,,,,,,,
pork,domestic eggs,,,,,,,,,
ham,whole milk,,,,,,,,,
citrus fruit,rum,,,,,,,,,
canned beer,soda,,,,,,,,,
sausage,whole milk,misc. beverages,specialty bar,soda,,,,,,
other vegetables,sugar,,,,,,,,,
other vegetables,root vegetables,pastry,margarine,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
tropical fruit,butter,dog food,,,,,,,,
tropical fruit,coffee,canned vegetables,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
canned beer,pip fruit,,,,,,,,,
mayonnaise,instant coffee,,,,,,,,,
sausage,rolls/buns,misc. beverages,processed cheese,,,,,,,
beef,newspapers,,,,,,,,,
pork,cat food,,,,,,,,,
chicken,pastry,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
misc. beverages,waffles,bottled beer,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
onions,pork,,,,,,,,,
whole milk,whole milk,,,,,,,,,
butter milk,UHT-milk,,,,,,,,,
whole milk,waffles,chocolate,,,,,,,,
bottled water,sparkling wine,,,,,,,,,
brown bread,dessert,,,,,,,,,
soda,salty snack,,,,,,,,,
beef,brown bread,,,,,,,,,
brown bread,pastry,,,,,,,,,
bottled water,frankfurter,dessert,root vegetables,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
sausage,Instant food products,,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
whole milk,roll products ,rice,,,,,,,,
frankfurter,soft cheese,mustard,,,,,,,,
sausage,white wine,hygiene articles,,,,,,,,
pastry,bottled beer,,,,,,,,,
misc. beverages,curd,,,,,,,,,
tropical fruit,baking powder,,,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
pork,whole milk,,,,,,,,,
sausage,yogurt,,,,,,,,,
soda,dish cleaner,,,,,,,,,
chocolate,tea,,,,,,,,,
pastry,vinegar,salty snack,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
whole milk,chocolate,,,,,,,,,
pastry,brown bread,whisky,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
cream cheese ,frankfurter,root vegetables,yogurt,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
specialty bar,cream cheese ,,,,,,,,,
canned beer,sugar,,,,,,,,,
butter milk,waffles,,,,,,,,,
pip fruit,candles,rolls/buns,,,,,,,,
pet care,coffee,soda,,,,,,,,
canned beer,yogurt,,,,,,,,,
pip fruit,soda,domestic eggs,,,,,,,,
turkey,soft cheese,other vegetables,canned beer,,,,,,,
liquor,hard cheese,,,,,,,,,
bottled beer,rolls/buns,herbs,UHT-milk,,,,,,,
hamburger meat,packaged fruit/vegetables,baking powder,,,,,,,,
curd,curd,rolls/buns,,,,,,,,
pork,bottled water,,,,,,,,,
canned beer,whole milk,frankfurter,frankfurter,dishes,rolls/buns,pip fruit,canned vegetables,,,
other vegetables,soda,,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
whole milk,whole milk,,,,,,,,,
berries,bottled water,curd,shopping bags,,,,,,,
frankfurter,butter milk,,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
canned beer,onions,,,,,,,,,
soda,sausage,butter milk,vinegar,,,,,,,
tropical fruit,detergent,rolls/buns,coffee,,,,,,,
pasta,pot plants,liquor,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
fruit/vegetable juice,white wine,,,,,,,,,
frozen fish,pastry,,,,,,,,,
sliced cheese,soda,,,,,,,,,
ham,curd,,,,,,,,,
pip fruit,canned vegetables,cling film/bags,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
whole milk,pasta,,,,,,,,,
mayonnaise,pet care,,,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
white bread,hygiene articles,,,,,,,,,
domestic eggs,coffee,,,,,,,,,
fruit/vegetable juice,packaged fruit/vegetables,,,,,,,,,
domestic eggs,pastry,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
white bread,salty snack,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
other vegetables,sliced cheese,canned vegetables,,,,,,,,
sausage,margarine,,,,,,,,,
margarine,bottled water,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
chocolate,herbs,chocolate,,,,,,,,
tropical fruit,meat,hard cheese,jam,,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
chewing gum,other vegetables,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
beef,rolls/buns,,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
whole milk,specialty bar,,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,detergent,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pastry,meat,,,,,,,,,
dessert,whole milk,waffles,,,,,,,,
bottled beer,candy,,,,,,,,,
UHT-milk,herbs,butter,oil,,,,,,,
liquor,chicken,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
flour,ready soups,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
pork,whole milk,,,,,,,,,
curd,meat,yogurt,whipped/sour cream,,,,,,,
butter,butter milk,,,,,,,,,
sausage,pork,,,,,,,,,
rolls/buns,dental care,,,,,,,,,
yogurt,shopping bags,coffee,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
ice cream,onions,,,,,,,,,
candy,frozen meals,,,,,,,,,
bottled water,specialty chocolate,,,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
brown bread,whole milk,,,,,,,,,
condensed milk,frankfurter,berries,whole milk,liver loaf,sliced cheese,domestic eggs,rolls/buns,frozen fish,,
butter,bottled water,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
whipped/sour cream,butter milk,,,,,,,,,
soda,butter milk,soda,,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
whole milk,spread cheese,,,,,,,,,
canned beer,dental care,,,,,,,,,
sausage,canned vegetables,,,,,,,,,
soda,liquor (appetizer),salty snack,,,,,,,,
meat,other vegetables,,,,,,,,,
root vegetables,yogurt,specialty bar,,,,,,,,
dog food,coffee,seasonal products,,,,,,,,
whole milk,pip fruit,pasta,yogurt,,,,,,,
canned beer,flour,,,,,,,,,
pastry,liqueur,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
root vegetables,male cosmetics,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
softener,soda,,,,,,,,,
sausage,bottled beer,bottled water,,,,,,,,
curd,specialty chocolate,,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
canned beer,bottled beer,,,,,,,,,
white bread,canned fish,,,,,,,,,
pot plants,spread cheese,butter milk,,,,,,,,
whole milk,butter,,,,,,,,,
beef,soda,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
whole milk,sugar,,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
frozen dessert,canned beer,,,,,,,,,
finished products,curd cheese,,,,,,,,,
chicken,root vegetables,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
pork,beverages,dishes,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
curd,butter,,,,,,,,,
dessert,sugar,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
canned beer,soda,candles,pickled vegetables,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
herbs,grapes,,,,,,,,,
bottled water,whole milk,,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
beef,canned beer,pastry,whole milk,,,,,,,
tropical fruit,newspapers,,,,,,,,,
